time,relay,order,received,sent
2026-04-15 13:40:34,relay_05_stablelm,0,I love rock and roll.,Rock and roll is my favorite.
2026-04-15 13:40:42,relay_04_phi,1,Rock and roll is my favorite.,Someone expressed their love for rock and roll.
2026-04-15 13:40:50,relay_01_qwen,2,Someone expressed their love for rock and roll.,A person declared their affection towards rock and roll music.
2026-04-15 13:42:37,relay_03_stablelm_zephyr,3,A person declared their affection towards rock and roll music.,Someone expressed their love for rock and roll music.
2026-04-15 13:42:42,relay_02_smol,4,Someone expressed their love for rock and roll music.,Someone said they love rock and roll music.
2026-04-15 13:42:51,relay_04_phi,5,Someone said they love rock and roll music.,The person expressed their affection for rock and roll music.
2026-04-15 13:42:55,relay_02_smol,6,The person expressed their affection for rock and roll music.,The person loves rock and roll music.
2026-04-15 13:43:03,relay_01_qwen,7,The person loves rock and roll music.,A person expresses love for rock and roll music.
2026-04-15 13:43:11,relay_04_phi,8,A person expresses love for rock and roll music.,A person has a strong affection for rock and roll.
2026-04-15 13:43:20,relay_03_stablelm_zephyr,9,A person has a strong affection for rock and roll.,Lover of rock and roll highly expressed in this message.
